hs6,year,n_eu_codes,min_mrl_weakest,lumped,stringency
080111,2023,1,0.005,0,5.2983
080112,2015,1,0.01,0,4.6052
080112,2016,1,0.01,0,4.6052
080112,2017,1,0.01,0,4.6052
080112,2018,1,0.01,0,4.6052
080112,2019,1,0.01,0,4.6052
080112,2020,1,0.01,0,4.6052
080112,2021,1,0.005,0,5.2983
080112,2022,1,0.005,0,5.2983
080112,2023,1,0.005,0,5.2983
080119,2015,1,0.01,0,4.6052
080119,2016,1,0.01,0,4.6052
080119,2017,1,0.01,0,4.6052
080119,2018,1,0.01,0,4.6052
080119,2019,1,0.01,0,4.6052
080119,2020,1,0.01,0,4.6052
080119,2021,1,0.005,0,5.2983
080119,2022,1,0.005,0,5.2983
080119,2023,1,0.005,0,5.2983
080121,2015,1,0.01,0,4.6052
080121,2016,1,0.01,0,4.6052
080121,2017,1,0.01,0,4.6052
080121,2018,1,0.01,0,4.6052
080121,2019,1,0.01,0,4.6052
080121,2020,1,0.01,0,4.6052
080121,2021,1,0.005,0,5.2983
080121,2022,1,0.005,0,5.2983
080121,2023,1,0.005,0,5.2983
080122,2015,1,0.01,0,4.6052
080122,2016,1,0.01,0,4.6052
080122,2017,1,0.01,0,4.6052
080122,2018,1,0.01,0,4.6052
080122,2019,1,0.01,0,4.6052
080122,2020,1,0.01,0,4.6052
080122,2021,1,0.005,0,5.2983
080122,2022,1,0.005,0,5.2983
080122,2023,1,0.005,0,5.2983
080131,2015,1,0.01,0,4.6052
080131,2016,1,0.01,0,4.6052
080131,2017,1,0.01,0,4.6052
080131,2018,1,0.01,0,4.6052
080131,2019,1,0.01,0,4.6052
080131,2020,1,0.01,0,4.6052
080131,2021,1,0.005,0,5.2983
080131,2022,1,0.005,0,5.2983
080131,2023,1,0.005,0,5.2983
080132,2015,1,0.01,0,4.6052
080132,2016,1,0.01,0,4.6052
080132,2017,1,0.01,0,4.6052
080132,2018,1,0.01,0,4.6052
080132,2019,1,0.01,0,4.6052
080132,2020,1,0.01,0,4.6052
080132,2021,1,0.005,0,5.2983
080132,2022,1,0.005,0,5.2983
080132,2023,1,0.005,0,5.2983
080211,2015,1,0.01,0,4.6052
080211,2016,1,0.01,0,4.6052
080211,2017,1,0.01,0,4.6052
080211,2018,1,0.01,0,4.6052
080211,2019,1,0.01,0,4.6052
080211,2020,1,0.01,0,4.6052
080211,2021,1,0.005,0,5.2983
080211,2022,1,0.005,0,5.2983
080211,2023,1,0.005,0,5.2983
080212,2015,1,0.01,0,4.6052
080212,2016,1,0.01,0,4.6052
080212,2017,1,0.01,0,4.6052
