parent_code,group_name,sub_code,product_name,scientific_name
0632010,Strawberry,0632010-022,Cowberry,Vaccinium vitis-idaea
0632010,Strawberry,0632010-023,"Currant (black, red and white)",Ribes nigrum
0632010,Strawberry,0632010-024,,Ribes rubrum
0632010,Strawberry,0632010-025,Damiana,Turnera diffusa
0632010,Strawberry,0632010-026,Downy hemp nettle,Galeopsis segetum
0632010,Strawberry,0632010-027,Echinacea,Echinacea angustifolia
0632010,Strawberry,0632010-028,,Echinacea pallida
0632010,Strawberry,0632010-029,,Echinacea purpurea
0632010,Strawberry,0632010-030,Elder,Sambucus nigra
0632010,Strawberry,0632010-031,Eucalyptus,Eucalyptus globulus
0632010,Strawberry,0632010-032,Eyebright,Euphrasia officinalis
0632010,Strawberry,0632010-033,Field horsetail,Equisetum arvense
0632010,Strawberry,0632010-034,Fumitory,Fumaria officinalis
0632010,Strawberry,0632010-035,Goat's rue,Galega officinalis
0632010,Strawberry,0632010-036,Golden root,Rhodiola rosea
0632010,Strawberry,0632010-037,Goldenrod,Solidago virgaurea
0632010,Strawberry,0632010-038,Ground ivy,Glechoma hederacea
0632010,Strawberry,0632010-039,Gymnema,Gymnema sylvestre
0632010,Strawberry,0632010-040,Hairy rupturewort,Herniaria hirsuta
0632010,Strawberry,0632010-041,Hawthorn,Crataegus spp.
0632010,Strawberry,0632010-042,Hazelnut/cobnut,Corylus avellana
0632010,Strawberry,0632010-043,Hearts ease,Viola tricolor
0632010,Strawberry,0632010-044,Heather,Calluna vulgaris
0632010,Strawberry,0632010-045,Hemp,Cannabis sativa subsp. sativa
0632010,Strawberry,0632010-046,,Cannabis sativa subsp. spontanea
0632010,Strawberry,0632010-047,Herb bennet,Geum urbanum
0632010,Strawberry,0632010-048,Holy thistle,Cnicus benedictus
0632010,Strawberry,0632010-049,Horehound,Marrubium vulgare
0632010,Strawberry,0632010-050,Horse-chestnut,Aesculus hippocastanum
0632010,Strawberry,0632010-051,Ironwort/Greek mountain tea,Sideritis spp.
0632010,Strawberry,0632010-052,Jiaogulan,Gynostemma pentaphyllum
0632010,Strawberry,0632010-053,Knotgrass,Polygonum aviculare
0632010,Strawberry,0632010-054,Ladies mantle,Alchemilla vulgaris
0632010,Strawberry,0632010-055,Lemon myrtle,Backhousia citriodora
