eus,eu_desc,hs6,hs6_lumped,resolve,phase2_status,cls,h,hdesc,inpanel
260030,Peas (with pods),070810,LUMPED(4→070810),auto_verified,verified_high,OK,070810,"Vegetables, leguminous: peas (pisum sativum), shelled or unshelled, fresh or chilled",True
232990,Others (2),070940,LUMPED(11→070940),auto_hs6_present,excluded_nec,OK,070940,"Vegetables: celery (other than celeriac), fresh or chilled",False
1200000,PRODUCTS OR PART OF PRODUCTS EXCLUSIVELY USED FOR ANIMAL FEED PRODUCTION (8),,,,needs_review_group,NO_HS6,,,False
233990,Others (2),080719,LUMPED(3→080719),auto_hs6_present,excluded_nec,OK,080719,"Fruit, edible: melons, other than watermelons, fresh",True
280990,Mosses and lichens,070959,LUMPED(2→070959),auto_hs6_present,needs_arbitration,OK,070959,"Vegetables: truffles and mushrooms (other than of the genus Agaricus), fresh or chilled",True
402020,Oil palms kernels,120710,,auto_sci_name,needs_review_noanchor,OK,120710,"Oil seeds: palm nuts and kernels, whether or not broken",False
260990,Others (2),070890,,auto_hs6_present,excluded_nec,OK,070890,"Vegetables, leguminous: (other than peas and beans), shelled or unshelled, fresh or chilled",True
140010,Apricots,080910,,auto_verified,verified_high,OK,080910,"Fruit, edible: apricots, fresh",True
632020,Rooibos,121190,LUMPED(13→121190),auto_herbal_infusion,needs_review_noanchor,UMBRELLA/multi,121190,"Plants and parts (including seeds and fruits) n.e.c. in heading no. 1211, used primarily in perfumery, pharmacy or for insecticidal, fungicidal purposes: fresh or dried, whether or not cut, crushed or powdered",True
154070,AzarolesMediterranean medlars,081030,LUMPED(5→081030),auto_hs6_present,needs_arbitration,LUMPING,081030,"Fruit, edible: black, white or red currants and gooseberries, fresh",False
110020,Oranges,080510,LUMPED(2→080510),vn_finalized,verified_high,OK,080510,"Fruit, edible: oranges, fresh or dried",True
840040,Horseradish (11),091091,,auto_hs6_present,needs_arbitration,ERROR,091091,Spices: mixtures of 2 or more products of different headings,True
870010,Mace,090821,LUMPED(2→090821),auto_verified,verified_high,OK,090821,"Spices: mace, neither crushed nor ground",True
1014030,Liver,,,,needs_review_noanchor,NO_HS6,,,False
820010,Allspicepimento,090421,LUMPED(2→090421),auto_hs6_present,needs_confirm,OK,090421,"Spices: fruits of the genus Capsicum or Pimenta, dried, neither crushed nor ground",False
260050,Lentils,070810,LUMPED(4→070810),auto_hs6_present,needs_arbitration,LUMPING,070810,"Vegetables, leguminous: peas (pisum sativum), shelled or unshelled, fresh or chilled",True
243010,Chinese cabbagespe-tsai,070420,LUMPED(2→070420),auto_hs6_present,needs_arbitration,OK,070420,"Vegetables, brassica: brussel sprouts, fresh or chilled",True
401990,Others (2),,,excluded_nec,excluded_nec,NO_HS6,,,False
231010,Tomatoes,070200,,auto_verified,verified_high,OK,070200,"Vegetables: tomatoes, fresh or chilled",True
820080,Tamarind,090421,LUMPED(2→090421),auto_hs6_present,needs_confirm,LUMPING,090421,"Spices: fruits of the genus Capsicum or Pimenta, dried, neither crushed nor ground",False
1020010,Cattle,,,,needs_review_noanchor,NO_HS6,,,False
631030,Rose,121190,LUMPED(13→121190),auto_herbal_infusion,needs_review_noanchor,UMBRELLA/multi,121190,"Plants and parts (including seeds and fruits) n.e.c. in heading no. 1211, used primarily in perfumery, pharmacy or for insecticidal, fungicidal purposes: fresh or dried, whether or not cut, crushed or powdered",True
900010,Sugar beet roots,121291,,auto_sci_name,needs_review_noanchor,UMBRELLA/multi,121291,"Sugar beet: fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",True
850020,Capers,090710,LUMPED(4→090710),auto_hs6_present,needs_arbitration,LUMPING,090710,"Spices: cloves (whole fruit, cloves and stems), neither crushed nor ground",True
820020,Sichuan pepper,090411,LUMPED(4→090411),auto_hs6_present,needs_confirm,OK,090411,"Spices: pepper (of the genus piper), neither crushed nor ground",True
631040,Jasmine,121190,LUMPED(13→121190),auto_herbal_infusion,needs_review_noanchor,UMBRELLA/multi,121190,"Plants and parts (including seeds and fruits) n.e.c. in heading no. 1211, used primarily in perfumery, pharmacy or for insecticidal, fungicidal purposes: fresh or dried, whether or not cut, crushed or powdered",True
